('https://hub.jhu.edu/novel-coronavirus-information/', '')
('http://ep.jhu.edu/graduate-degree-programs/applied-and-computational-mathematics', 'Applied & Computational Mathematics')
('http://ep.jhu.edu/graduate-degree-programs/applied-physics', 'Applied Physics')
('https://ep.jhu.edu/programs-and-courses/programs/artificial-intelligence', 'Artificial Intelligence')
('http://krieger.jhu.edu/', 'Arts & Sciences')
('https://cbid.bme.jhu.edu/', 'Bioengineering Innovation & Design')
('https://www.bme.jhu.edu/', 'Biomedical Engineering')
('http://icm.jhu.edu/', 'Computational Medicine')
('http://lcsr.jhu.edu/computer-integrated-surgery-minor/', 'Computer Integrated Surgery')
('https://www.cs.jhu.edu/', 'Computer Science')
('https://isi.jhu.edu/', 'Cybersecurity / Security Informatics')
('http://ehe.jhu.edu/undergraduate/degree-programs/general-minor-information/engineering-for-sustainable-development.html', 'Engineering for Sustainable Development')
('http://ehe.jhu.edu/', 'Environmental Engineering')
('https://ep.jhu.edu/programs-and-courses/programs/environmental-engineering-and-science', 'Environmental Engineering, Science & Management')
('https://ep.jhu.edu/programs-and-courses/programs/healthcare-systems-engineering', 'Healthcare Systems Engineering')
('http://ep.jhu.edu/graduate-degree-programs/information-systems-engineering', 'Information Systems Engineering')
('http://materials.jhu.edu ', 'Materials Science & Engineering')
('http://me.jhu.edu/', 'Mechanical Engineering')
('https://inbt.jhu.edu/', 'Nanobiotechnology')
('https://lcsr.jhu.edu/', 'Robotics')
('https://ep.jhu.edu/programs-and-courses/programs/space-systems-engineering', 'Space Systems, Space Science and Aerospace')
('http://ep.jhu.edu/graduate-degree-programs/systems-engineering', 'Systems Engineering')
('http://systems.jhu.edu/', 'Systems Science & Engineering')
('http://ep.jhu.edu/graduate-degree-programs/technical-management', 'Technical Management')
('https://secure.jhu.edu/form/eng', '')
('https://www.youvisit.com/tour/jhuhomewood?pl=v', '')
('http://facultyaffairs.jhu.edu/provosts-office-faculty-initiatives-3/faculty-diversity-initiative/', '')
('https://hcie.jhu.edu/', '')
('http://e-catalog.jhu.edu/', '')
('https://studentaffairs.jhu.edu/registrar/veterans/', '')
('https://www.youvisit.com/tour/jhuhomewood?pl=v', '')
('https://apply.jhu.edu/campus-and-community/welcome-to-baltimore/', '')
('https://studentaffairs.jhu.edu/parents-families/', '')
('https://wsemanufacturing.jhu.edu/', '')
('http://ep.jhu.edu/', '')
('http://postdoc.jhu.edu/', '')
('https://www.youvisit.com/tour/jhuhomewood?pl=v', '')
('https://studentaffairs.jhu.edu/registrar/veterans/', '')
('http://e-catalog.jhu.edu/', '')
('http://ep.jhu.edu/current-students', '')
('https://ep.jhu.edu/admissions-and-financial-aid', '')
('https://research.jhu.edu/hour/', '')
('https://research.jhu.edu/', '')
('http://ventures.jhu.edu/', '')
('https://cgpo.jhu.edu/', '')
('https://wsemanufacturing.jhu.edu', '')
('https://makerspace.jhu.edu/', '')
('http://labsafety.jhu.edu/', '')
('https://hpo.johnshopkins.edu/hse/', '')
('http://releases.jhu.edu/category/academic-disciplines/engineering/', '')
('https://secure.jhu.edu/form/eng', '')
('http://alumni.jhu.edu/', '')
('mailto:wsecommunications@jhu.edu', 'wsecommunications@jhu.edu')
('https://www.jhu.edu/', '')
('https://www.jhu.edu/university-policies/', '')
('https://it.johnshopkins.edu/policies/privacystatement', '')
('https://my.jh.edu/portal/web/jhupub/', '')
('https://www.jhu.edu/assets/uploads/2016/11/compliance_policy.pdf', '')
('https://www.facebook.com/jhuengineering', '')
('https://twitter.com/HopkinsEngineer', '')
('https://www.youtube.com/user/HopkinsEngineer', '')
('https://www.linkedin.com/school/522339/', '')
('https://instagram.com/hopkinsengineer', '')
